FTno_State,Fuel_Name,FTno_FDR,Fuel_FDR,FBM,FHS_s,FHS_ns,FHS_el,FHS_b,FL_s,FL_ns,FL_el,FL_b,FL_o,FL_total,FI_s,FI_ns,FI_el,FI_b,FI_o,FI_total,Fk_s,Fk_ns,Fk_el,Fk_b,Fk_o,Fk_total,H_ns,H_el,H_o,Hk_ns,Cov_o,WF_Sav,WF_Heath,WRF_For,Spotting,Prod_BG,OFHR,WSF,FHR_s,FHR_el,FHR_b
6101,Jarrah North East,100,Forest,Vesta,3,3,2,3,11,3,2,5,4.5,22,1,0.5,0,0,0,1,0.2,0.15,0.2,0.1,1,0.2,20,0.5,30,0.3,,,,3,1,,5,0,,,
6102,Jarrah North West,100,Forest,Vesta,3.5,3,2.5,3,11,3,2.5,5,4.5,24.5,2,0.5,0,0,0,2.5,0.25,0.15,0.2,0.1,1,0.2,25,0.5,30,0.3,,,,3,1,,5,0,,,
6103,Jarrah South,100,Forest,Vesta,3.5,3,3,3,11,4,3,5,4.5,26,2,0.75,0,0,0,2.75,0.35,0.2,0.2,0.1,1,0.2,30,1.8,30,0.3,,,,3.5,1,,5,0,,,
6104,Jarrah-Karri Mosaic,150,Wet_forest,Vesta,4,3,3.5,3,11,3.5,4,5,8,32.5,2,0.75,0,0,0,2.75,0.15,0.2,0.15,0.1,1,0.2,35,2,60,0.3,,,,3.5,1,,5,1,,,
6105,Open forest,100,Forest,Vesta,2.7,2.7,1.8,2.7,10.8,2.7,1.8,4.5,4.5,20,0.9,0.5,0,0,0,0.9,0.2,0.15,0.2,0.1,1,0.1,20,0.5,20,0.3,,,,3,0,,4,0,,,
6106,Melaleuca Open forest,100,Forest,Vesta,2.7,2.7,1.8,2.7,10.8,2.7,1.8,4.5,4.5,20,0.9,0.5,0,0,0,0.9,0.2,0.15,0.2,0.1,1,0.1,20,0.5,20,0.3,,,,3,0,,4,0,,,
6111,Banksia woodland,600,Heath,Heathland,,,,,,,,,,15,,,,,,0.7,,,,,,0.1,,1,,,10,,0.35,,,,2,0,,,
6112,Woodland with shrub,100,Forest,Vesta,1.7,0.9,1,1.1,6,1.5,1,2.5,4.5,11,0.5,0.25,0,0,0,0.5,0.2,0.15,0.2,0.1,1,0.2,20,1.6,13,0.3,,,,2.5,0,,2,0,,,
6150,Plantation from ALUM,100,Forest,Vesta,2.5,1,1,3,11,2.5,1,2,4.5,22,,,,,,,0.3,0.2,0.2,0.1,0.3,0.2,20,1.5,20,0.3,,,,5,1,,4,0,,,
6201,Pinus,200,Pine,Pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,
6301,hOFM Open Forest with Mixed grasses,300,Woodland,Savanna,,,,,,,,,,7.76,,,,,,,,,,,,0.7,,,,,,0.5,,,,,4,0,,,
6302,hWMi Woodland with Mixed grasses ,300,Woodland,Savanna,,,,,,,,,,6.23,,,,,,,,,,,,1,,,,,,0.5,,,,,4,0,,,
6303,lWTu Woodland with Tussock grass,300,Woodland,Savanna,,,,,,,,,,7.02,,,,,,,,,,,,0.6,,,,,,0.5,,,,,2,0,,,
6304,lWMi Woodland with Mixed grasses,300,Woodland,Savanna,,,,,,,,,,3.26,,,,,,,,,,,,1,,,,,,0.5,,,,,4,0,,,
6305,lOWM Open Woodland with Mixed grasses,300,Woodland,Savanna,,,,,,,,,,4.19,,,,,,,,,,,,1,,,,,,0.6,,,,,4,0,,,
6306,Woodland with tussock grass,300,Woodland,Savanna,,,,,,,,,,7.02,,,,,,,,,,,,0.6,,,,,,0.5,,,,,2,0,,,
6307,Open woodland with tussock grass,300,Woodland,Savanna,,,,,,,,,,7.02,,,,,,,,,,,,0.6,,,,,,0.6,,,,,2,0,,,
6308,Pindan woodland,300,Woodland,Savanna,,,,,,,,,,7.02,,,,,,,,,,,,0.6,,,,,,0.5,,,,,4,0,,,
6311,Arid woodland,310,Acacia_woodland,Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,2,0,,,
6312,Woodland with chenopod,310,Acacia_woodland,Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,2,0,,,
6313,Arid shrubland,310,Acacia_woodland,Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,2,0,,,
6314,Shrubland with chenopod,310,Acacia_woodland,Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,2,0,,,
